,confirmed,country,date,deaths,province,recovered
37,1,South Korea,01/22/2020,0,,0
15,0,China,01/22/2020,0,Inner Mongolia,0
14,4,China,01/22/2020,0,Hunan,0
13,444,China,01/22/2020,0,Hubei,0
12,0,China,01/22/2020,0,Hong Kong,0
11,5,China,01/22/2020,0,Henan,0
10,0,China,01/22/2020,0,Heilongjiang,0
9,1,China,01/22/2020,0,Hebei,0
16,1,China,01/22/2020,0,Jiangsu,0
8,4,China,01/22/2020,0,Hainan,0
6,2,China,01/22/2020,0,Guangxi,0
5,26,China,01/22/2020,0,Guangdong,0
4,0,China,01/22/2020,0,Gansu,0
3,1,China,01/22/2020,0,Fujian,0
2,6,China,01/22/2020,0,Chongqing,0
1,14,China,01/22/2020,0,Beijing,0
0,1,China,01/22/2020,0,Anhui,0
7,1,China,01/22/2020,0,Guizhou,0
17,2,China,01/22/2020,0,Jiangxi,0
36,2,Thailand,01/22/2020,0,,0
19,2,China,01/22/2020,0,Liaoning,0
18,0,China,01/22/2020,0,Jilin,0
35,2,Japan,01/22/2020,0,,0
34,10,China,01/22/2020,0,Zhejiang,0
33,1,China,01/22/2020,0,Yunnan,0
31,1,US,01/22/2020,0,Washington,0
30,0,China,01/22/2020,0,Tibet,0
29,4,China,01/22/2020,0,Tianjin,0
28,1,China,01/22/2020,0,Taiwan,0
32,0,China,01/22/2020,0,Xinjiang,0
26,1,China,01/22/2020,0,Shanxi,0
25,9,China,01/22/2020,0,Shanghai,0
24,2,China,01/22/2020,0,Shandong,0
23,0,China,01/22/2020,0,Shaanxi,0
22,0,China,01/22/2020,0,Qinghai,0
21,1,China,01/22/2020,0,Ningxia,0
20,1,China,01/22/2020,0,Macau,0
27,5,China,01/22/2020,0,Sichuan,0
13,444,Mainland China,01/23/2020,0,Hubei,0
14,9,Mainland China,01/23/2020,0,Hunan,0
15,0,Mainland China,01/23/2020,0,Inner Mongolia,0
16,5,Mainland China,01/23/2020,0,Jiangsu,0
20,2,Macau,01/23/2020,0,Macau,0
18,1,Mainland China,01/23/2020,0,Jilin,0
19,3,Mainland China,01/23/2020,0,Liaoning,0
12,2,Hong Kong,01/23/2020,0,Hong Kong,0
17,7,Mainland China,01/23/2020,0,Jiangxi,0
11,5,Mainland China,01/23/2020,0,Henan,0
2,9,Mainland China,01/23/2020,0,Chongqing,0
9,1,Mainland China,01/23/2020,0,Hebei,0
8,5,Mainland China,01/23/2020,0,Hainan,0
7,3,Mainland China,01/23/2020,0,Guizhou,0
6,5,Mainland China,01/23/2020,0,Guangxi,0
5,32,Mainland China,01/23/2020,0,Guangdong,0
4,2,Mainland China,01/23/2020,0,Gansu,0
3,5,Mainland China,01/23/2020,0,Fujian,0
21,1,Mainland China,01/23/2020,0,Ningxia,0
1,22,Mainland China,01/23/2020,0,Beijing,0
10,2,Mainland China,01/23/2020,0,Heilongjiang,0
22,0,Mainland China,01/23/2020,0,Qinghai,0
0,9,Mainland China,01/23/2020,0,Anhui,0
24,6,Mainland China,01/23/2020,0,Shandong,0
44,0,Brazil,01/23/2020,0,,0
43,0,Mexico,01/23/2020,0,,0
42,0,Australia,01/23/2020,0,,0
41,2,Vietnam,01/23/2020,0,,0
40,0,Malaysia,01/23/2020,0,,0
39,0,Philippines,01/23/2020,0,,0
38,1,Singapore,01/23/2020,0,,0
37,1,South Korea,01/23/2020,0,,0
36,3,Thailand,01/23/2020,0,,0
35,1,Japan,01/23/2020,0,,0
45,0,Colombia,01/23/2020,0,,0
33,2,Mainland China,01/23/2020,0,Yunnan,0
34,27,Mainland China,01/23/2020,0,Zhejiang,0
25,16,Mainland China,01/23/2020,0,Shanghai,0
26,1,Mainland China,01/23/2020,0,Shanxi,0
27,8,Mainland China,01/23/2020,0,Sichuan,0
23,3,Mainland China,01/23/2020,0,Shaanxi,0
29,4,Mainland China,01/23/2020,0,Tianjin,0
30,0,Mainland China,01/23/2020,0,Tibet,0
31,1,US,01/23/2020,0,Washington,0
32,2,Mainland China,01/23/2020,0,Xinjiang,0
28,1,Taiwan,01/23/2020,0,Taiwan,0
18,5,Mainland China,01/24/2020,0,Shaanxi,0
17,5,Mainland China,01/24/2020,0,Yunnan,0
16,8,Mainland China,01/24/2020,0,Tianjin,0
15,8,Mainland China,01/24/2020,0,Hainan,0
14,9,Mainland China,01/24/2020,0,Jiangsu,0
13,9,Mainland China,01/24/2020,0,Henan,0
12,10,Mainland China,01/24/2020,0,Fujian,0
11,15,Mainland China,01/24/2020,0,Anhui,0
10,15,Mainland China,01/24/2020,0,Shandong,0
8,18,Mainland China,01/24/2020,0,Jiangxi,0
7,20,Mainland China,01/24/2020,0,Shanghai,1
6,23,Mainland China,01/24/2020,0,Guangxi,0
4,27,Mainland China,01/24/2020,0,Chongqing,0
3,36,Mainland China,01/24/2020,0,Beijing,1
2,43,Mainland China,01/24/2020,0,Zhejiang,1
1,53,Mainland China,01/24/2020,0,Guangdong,2
0,549,Mainland China,01/24/2020,24,Hubei,31
19,4,Mainland China,01/24/2020,1,Heilongjiang,0
9,15,Mainland China,01/24/2020,0,Sichuan,0
5,24,Mainland China,01/24/2020,0,Hunan,0
20,4,Mainland China,01/24/2020,0,Liaoning,0
22,3,Mainland China,01/24/2020,0,Jilin,0
21,3,Mainland China,01/24/2020,0,Guizhou,0
40,2,France,01/24/2020,0,,0
39,2,Vietnam,01/24/2020,0,,0
38,3,Singapore,01/24/2020,0,,0
37,2,South Korea,01/24/2020,0,,0
35,2,Japan,01/24/2020,0,,0
34,1,US,01/24/2020,0,Chicago,0
33,1,US,01/24/2020,0,Washington,0
32,0,Mainland China,01/24/2020,0,Qinghai,0
36,5,Thailand,01/24/2020,0,,0
30,1,Mainland China,01/24/2020,0,Shanxi,0
29,2,Mainland China,01/24/2020,0,Xinjiang,0
28,2,Mainland China,01/24/2020,0,Gansu,0
27,2,Mainland China,01/24/2020,1,Hebei,0
26,2,Macau,01/24/2020,0,Macau,0
25,2,Hong Kong,01/24/2020,0,Hong Kong,0
24,2,Mainland China,01/24/2020,0,Ningxia,0
31,1,Mainland China,01/24/2020,0,Inner Mongolia,0
23,3,Taiwan,01/24/2020,0,Taiwan,0
12,33,Mainland China,01/25/2020,0,Guangxi,0
13,31,Mainland China,01/25/2020,0,Jiangsu,1
14,19,Mainland China,01/25/2020,0,Hainan,0
18,15,Mainland China,01/25/2020,0,Shaanxi,0
16,18,Mainland China,01/25/2020,1,Fujian,0
17,15,Mainland China,01/25/2020,0,Heilongjiang,0
11,36,Mainland China,01/25/2020,0,Jiangxi,0
15,19,Mainland China,01/25/2020,0,Liaoning,0
10,39,Mainland China,01/25/2020,0,Shandong,0
0,1052,Mainland China,01/25/2020,52,Hubei,42
8,44,Mainland China,01/25/2020,0,Sichuan,0
7,51,Mainland China,01/25/2020,0,Beijing,2
6,60,Mainland China,01/25/2020,0,Anhui,0
5,69,Mainland China,01/25/2020,0,Hunan,0
4,75,Mainland China,01/25/2020,0,Chongqing,0
3,83,Mainland China,01/25/2020,1,Henan,0
2,98,Mainland China,01/25/2020,0,Guangdong,2
1,104,Mainland China,01/25/2020,0,Zhejiang,1
19,13,Mainland China,01/25/2020,0,Tianjin,0
9,40,Mainland China,01/25/2020,1,Shanghai,1
20,13,Mainland China,01/25/2020,1,Hebei,0
37,3,South Korea,01/25/2020,0,,0
22,9,Mainland China,01/25/2020,0,Shanxi,0
21,11,Mainland China,01/25/2020,0,Yunnan,0
42,1,Nepal,01/25/2020,0,,0
41,4,Australia,01/25/2020,0,,0
40,3,France,01/25/2020,0,,0
39,2,Vietnam,01/25/2020,0,,0
38,3,Singapore,01/25/2020,0,,0
36,7,Thailand,01/25/2020,0,,0
35,2,Japan,01/25/2020,0,,0
34,1,US,01/25/2020,0,Illinois,0
33,1,US,01/25/2020,0,Washington,0
43,3,Malaysia,01/25/2020,0,,0
31,2,Macau,01/25/2020,0,Macau,0
32,1,Mainland China,01/25/2020,0,Qinghai,0
24,7,Mainland China,01/25/2020,0,Gansu,0
25,5,Mainland China,01/25/2020,0,Guizhou,0
26,5,Hong Kong,01/25/2020,0,Hong Kong,0
23,7,Mainland China,01/25/2020,0,Inner Mongolia,0
28,4,Mainland China,01/25/2020,0,Jilin,0
29,4,Mainland China,01/25/2020,0,Xinjiang,0
30,3,Taiwan,01/25/2020,0,Taiwan,0
27,4,Mainland China,01/25/2020,0,Ningxia,0
12,47,Mainland China,01/26/2020,0,Jiangsu,1
20,18,Mainland China,01/26/2020,1,Hebei,0
19,19,Mainland China,01/26/2020,0,Yunnan,0
18,21,Mainland China,01/26/2020,1,Heilongjiang,0
17,22,Mainland China,01/26/2020,0,Shaanxi,0
16,22,Mainland China,01/26/2020,0,Hainan,0
15,23,Mainland China,01/26/2020,0,Liaoning,0
14,35,Mainland China,01/26/2020,0,Fujian,0
13,46,Mainland China,01/26/2020,0,Guangxi,0
11,48,Mainland China,01/26/2020,0,Jiangxi,0
0,1423,Mainland China,01/26/2020,76,Hubei,44
9,63,Mainland China,01/26/2020,0,Shandong,0
8,68,Mainland China,01/26/2020,0,Beijing,2
7,69,Mainland China,01/26/2020,0,Sichuan,0
6,70,Mainland China,01/26/2020,0,Anhui,0
5,100,Mainland China,01/26/2020,0,Hunan,0
4,110,Mainland China,01/26/2020,0,Chongqing,0
3,128,Mainland China,01/26/2020,1,Henan,0
2,128,Mainland China,01/26/2020,0,Zhejiang,1
1,146,Mainland China,01/26/2020,0,Guangdong,2
10,53,Mainland China,01/26/2020,1,Shanghai,1
22,14,Mainland China,01/26/2020,0,Gansu,0
21,14,Mainland China,01/26/2020,0,Tianjin,0
24,11,Mainland China,01/26/2020,0,Inner Mongolia,0
23,13,Mainland China,01/26/2020,0,Shanxi,0
46,1,Canada,01/26/2020,0,Ontario,0
45,4,Malaysia,01/26/2020,0,,0
44,1,Nepal,01/26/2020,0,,0
43,4,Australia,01/26/2020,0,,0
42,3,France,01/26/2020,0,,0
40,4,Singapore,01/26/2020,0,,0
39,3,South Korea,01/26/2020,0,,0
38,8,Thailand,01/26/2020,0,,2
37,4,Japan,01/26/2020,0,,1
36,1,US,01/26/2020,0,Arizona,0
41,2,Vietnam,01/26/2020,0,,0
34,1,US,01/26/2020,0,Illinois,0
33,1,US,01/26/2020,0,Washington,0
